target,date,season,holiday,weekday,workingday,weathersit,temp,atemp,TM1,TM2,TM3,TM4,TM5,TM6,TM7
1,2011-01-02,1,0,0,0,2,0.4,0.4091,2,3,6,9,17,17,39
8,2011-01-02,1,0,0,0,3,0.4,0.4091,1,2,3,6,9,17,17
20,2011-01-02,1,0,0,0,2,0.38,0.3939,8,1,2,3,6,9,17
53,2011-01-02,1,0,0,0,2,0.36,0.3485,20,8,1,2,3,6,9
70,2011-01-02,1,0,0,0,2,0.36,0.3333,53,20,8,1,2,3,6
93,2011-01-02,1,0,0,0,2,0.36,0.3333,70,53,20,8,1,2,3
75,2011-01-02,1,0,0,0,2,0.36,0.3485,93,70,53,20,8,1,2
59,2011-01-02,1,0,0,0,3,0.36,0.3485,75,93,70,53,20,8,1
74,2011-01-02,1,0,0,0,3,0.34,0.3333,59,75,93,70,53,20,8
76,2011-01-02,1,0,0,0,3,0.34,0.3333,74,59,75,93,70,53,20
65,2011-01-02,1,0,0,0,1,0.34,0.3333,76,74,59,75,93,70,53
53,2011-01-02,1,0,0,0,2,0.36,0.3333,65,76,74,59,75,93,70
30,2011-01-02,1,0,0,0,1,0.32,0.2879,53,65,76,74,59,75,93
22,2011-01-02,1,0,0,0,1,0.3,0.2727,30,53,65,76,74,59,75
31,2011-01-02,1,0,0,0,1,0.26,0.2273,22,30,53,65,76,74,59
9,2011-01-02,1,0,0,0,1,0.24,0.2121,31,22,30,53,65,76,74
8,2011-01-02,1,0,0,0,1,0.22,0.2273,9,31,22,30,53,65,76
5,2011-01-03,1,0,1,1,1,0.22,0.197,8,9,31,22,30,53,65
2,2011-01-03,1,0,1,1,1,0.2,0.1667,5,8,9,31,22,30,53
1,2011-01-03,1,0,1,1,1,0.16,0.1364,2,5,8,9,31,22,30
3,2011-01-03,1,0,1,1,1,0.16,0.1364,1,2,5,8,9,31,22
30,2011-01-03,1,0,1,1,1,0.14,0.1061,3,1,2,5,8,9,31
64,2011-01-03,1,0,1,1,1,0.14,0.1364,30,3,1,2,5,8,9
154,2011-01-03,1,0,1,1,1,0.14,0.1212,64,30,3,1,2,5,8
88,2011-01-03,1,0,1,1,1,0.16,0.1364,154,64,30,3,1,2,5
44,2011-01-03,1,0,1,1,1,0.18,0.1667,88,154,64,30,3,1,2
51,2011-01-03,1,0,1,1,1,0.2,0.1818,44,88,154,64,30,3,1
61,2011-01-03,1,0,1,1,1,0.22,0.2121,51,44,88,154,64,30,3
61,2011-01-03,1,0,1,1,1,0.24,0.2121,61,51,44,88,154,64,30
77,2011-01-03,1,0,1,1,1,0.26,0.2424,61,61,51,44,88,154,64
72,2011-01-03,1,0,1,1,1,0.26,0.2424,77,61,61,51,44,88,154
76,2011-01-03,1,0,1,1,1,0.26,0.2424,72,77,61,61,51,44,88
157,2011-01-03,1,0,1,1,1,0.24,0.2273,76,72,77,61,61,51,44
157,2011-01-03,1,0,1,1,1,0.24,0.2576,157,76,72,77,61,61,51
110,2011-01-03,1,0,1,1,1,0.2,0.2576,157,157,76,72,77,61,61
52,2011-01-03,1,0,1,1,1,0.2,0.2273,110,157,157,76,72,77,61
52,2011-01-03,1,0,1,1,1,0.18,0.197,52,110,157,157,76,72,77
20,2011-01-03,1,0,1,1,1,0.14,0.1515,52,52,110,157,157,76,72
12,2011-01-03,1,0,1,1,1,0.18,0.2121,20,52,52,110,157,157,76
5,2011-01-04,1,0,2,1,1,0.16,0.1818,12,20,52,52,110,157,157
2,2011-01-04,1,0,2,1,1,0.16,0.1818,5,12,20,52,52,110,157
1,2011-01-04,1,0,2,1,1,0.14,0.1515,2,5,12,20,52,52,110
2,2011-01-04,1,0,2,1,1,0.14,0.1818,1,2,5,12,20,52,52
4,2011-01-04,1,0,2,1,1,0.12,0.1515,2,1,2,5,12,20,52
36,2011-01-04,1,0,2,1,1,0.12,0.1515,4,2,1,2,5,12,20
94,2011-01-04,1,0,2,1,1,0.12,0.1515,36,4,2,1,2,5,12
179,2011-01-04,1,0,2,1,1,0.14,0.1515,94,36,4,2,1,2,5
100,2011-01-04,1,0,2,1,1,0.16,0.1515,179,94,36,4,2,1,2
42,2011-01-04,1,0,2,1,2,0.16,0.1364,100,179,94,36,4,2,1
57,2011-01-04,1,0,2,1,1,0.22,0.2121,42,100,179,94,36,4,2
78,2011-01-04,1,0,2,1,1,0.22,0.2273,57,42,100,179,94,36,4
97,2011-01-04,1,0,2,1,1,0.24,0.2273,78,57,42,100,179,94,36
63,2011-01-04,1,0,2,1,1,0.26,0.2576,97,78,57,42,100,179,94
65,2011-01-04,1,0,2,1,1,0.28,0.2727,63,97,78,57,42,100,179
83,2011-01-04,1,0,2,1,1,0.3,0.2879,65,63,97,78,57,42,100
212,2011-01-04,1,0,2,1,1,0.28,0.2727,83,65,63,97,78,57,42
182,2011-01-04,1,0,2,1,1,0.26,0.2576,212,83,65,63,97,78,57
112,2011-01-04,1,0,2,1,1,0.24,0.2576,182,212,83,65,63,97,78
54,2011-01-04,1,0,2,1,1,0.24,0.2576,112,182,212,83,65,63,97
48,2011-01-04,1,0,2,1,1,0.22,0.2727,54,112,182,212,83,65,63
35,2011-01-04,1,0,2,1,1,0.22,0.2576,48,54,112,182,212,83,65
11,2011-01-04,1,0,2,1,1,0.2,0.2273,35,48,54,112,182,212,83
6,2011-01-05,1,0,3,1,1,0.2,0.2576,11,35,48,54,112,182,212
6,2011-01-05,1,0,3,1,1,0.16,0.197,6,11,35,48,54,112,182
2,2011-01-05,1,0,3,1,1,0.16,0.197,6,6,11,35,48,54,112
2,2011-01-05,1,0,3,1,1,0.24,0.2273,2,6,6,11,35,48,54
3,2011-01-05,1,0,3,1,1,0.22,0.2273,2,2,6,6,11,35,48
33,2011-01-05,1,0,3,1,1,0.2,0.197,3,2,2,6,6,11,35
88,2011-01-05,1,0,3,1,1,0.18,0.1818,33,3,2,2,6,6,11
195,2011-01-05,1,0,3,1,1,0.2,0.1818,88,33,3,2,2,6,6
115,2011-01-05,1,0,3,1,1,0.22,0.197,195,88,33,3,2,2,6
57,2011-01-05,1,0,3,1,1,0.22,0.197,115,195,88,33,3,2,2
46,2011-01-05,1,0,3,1,1,0.26,0.2273,57,115,195,88,33,3,2
79,2011-01-05,1,0,3,1,1,0.26,0.2273,46,57,115,195,88,33,3
71,2011-01-05,1,0,3,1,1,0.28,0.2576,79,46,57,115,195,88,33
62,2011-01-05,1,0,3,1,1,0.3,0.2879,71,79,46,57,115,195,88
62,2011-01-05,1,0,3,1,1,0.3,0.2879,62,71,79,46,57,115,195
89,2011-01-05,1,0,3,1,1,0.3,0.3182,62,62,71,79,46,57,115
190,2011-01-05,1,0,3,1,1,0.24,0.2273,89,62,62,71,79,46,57
169,2011-01-05,1,0,3,1,1,0.24,0.2424,190,89,62,62,71,79,46
132,2011-01-05,1,0,3,1,1,0.24,0.2576,169,190,89,62,62,71,79
89,2011-01-05,1,0,3,1,1,0.22,0.2273,132,169,190,89,62,62,71
43,2011-01-05,1,0,3,1,1,0.2,0.197,89,132,169,190,89,62,62
42,2011-01-05,1,0,3,1,1,0.18,0.197,43,89,132,169,190,89,62
19,2011-01-05,1,0,3,1,1,0.2,0.2576,42,43,89,132,169,190,89
11,2011-01-06,1,0,4,1,1,0.18,0.2424,19,42,43,89,132,169,190
4,2011-01-06,1,0,4,1,1,0.16,0.2273,11,19,42,43,89,132,169
2,2011-01-06,1,0,4,1,1,0.16,0.2273,4,11,19,42,43,89,132
1,2011-01-06,1,0,4,1,2,0.16,0.197,2,4,11,19,42,43,89
4,2011-01-06,1,0,4,1,2,0.14,0.1818,1,2,4,11,19,42,43
36,2011-01-06,1,0,4,1,2,0.14,0.1667,4,1,2,4,11,19,42
95,2011-01-06,1,0,4,1,2,0.16,0.2273,36,4,1,2,4,11,19
219,2011-01-06,1,0,4,1,1,0.16,0.2273,95,36,4,1,2,4,11
122,2011-01-06,1,0,4,1,2,0.18,0.2424,219,95,36,4,1,2,4
45,2011-01-06,1,0,4,1,1,0.2,0.2576,122,219,95,36,4,1,2
59,2011-01-06,1,0,4,1,1,0.22,0.2576,45,122,219,95,36,4,1
84,2011-01-06,1,0,4,1,1,0.26,0.2879,59,45,122,219,95,36,4
67,2011-01-06,1,0,4,1,1,0.26,0.2727,84,59,45,122,219,95,36
70,2011-01-06,1,0,4,1,1,0.28,0.2727,67,84,59,45,122,219,95
62,2011-01-06,1,0,4,1,1,0.28,0.2727,70,67,84,59,45,122,219
86,2011-01-06,1,0,4,1,1,0.26,0.2576,62,70,67,84,59,45,122
172,2011-01-06,1,0,4,1,1,0.22,0.2273,86,62,70,67,84,59,45
163,2011-01-06,1,0,4,1,1,0.22,0.2273,172,86,62,70,67,84,59
112,2011-01-06,1,0,4,1,1,0.22,0.2576,163,172,86,62,70,67,84
69,2011-01-06,1,0,4,1,1,0.2,0.2121,112,163,172,86,62,70,67
48,2011-01-06,1,0,4,1,2,0.22,0.2121,69,112,163,172,86,62,70
52,2011-01-06,1,0,4,1,2,0.22,0.2121,48,69,112,163,172,86,62
23,2011-01-06,1,0,4,1,2,0.2,0.197,52,48,69,112,163,172,86
17,2011-01-07,1,0,5,1,2,0.2,0.197,23,52,48,69,112,163,172
7,2011-01-07,1,0,5,1,2,0.2,0.197,17,23,52,48,69,112,163
1,2011-01-07,1,0,5,1,2,0.2,0.197,7,17,23,52,48,69,112
1,2011-01-07,1,0,5,1,2,0.2,0.2121,1,7,17,23,52,48,69
5,2011-01-07,1,0,5,1,3,0.22,0.2727,1,1,7,17,23,52,48
34,2011-01-07,1,0,5,1,2,0.2,0.2576,5,1,1,7,17,23,52
84,2011-01-07,1,0,5,1,1,0.2,0.2121,34,5,1,1,7,17,23
210,2011-01-07,1,0,5,1,1,0.2,0.197,84,34,5,1,1,7,17
134,2011-01-07,1,0,5,1,1,0.2,0.1818,210,84,34,5,1,1,7
63,2011-01-07,1,0,5,1,1,0.22,0.197,134,210,84,34,5,1,1
67,2011-01-07,1,0,5,1,2,0.2,0.197,63,134,210,84,34,5,1
59,2011-01-07,1,0,5,1,2,0.2,0.197,67,63,134,210,84,34,5
73,2011-01-07,1,0,5,1,2,0.2,0.1818,59,67,63,134,210,84,34
50,2011-01-07,1,0,5,1,2,0.2,0.197,73,59,67,63,134,210,84
72,2011-01-07,1,0,5,1,2,0.2,0.2121,50,73,59,67,63,134,210
87,2011-01-07,1,0,5,1,2,0.2,0.2121,72,50,73,59,67,63,134
187,2011-01-07,1,0,5,1,2,0.2,0.2576,87,72,50,73,59,67,63
123,2011-01-07,1,0,5,1,1,0.2,0.2273,187,87,72,50,73,59,67
95,2011-01-07,1,0,5,1,1,0.16,0.197,123,187,87,72,50,73,59
51,2011-01-07,1,0,5,1,1,0.18,0.2121,95,123,187,87,72,50,73
39,2011-01-07,1,0,5,1,1,0.18,0.197,51,95,123,187,87,72,50
36,2011-01-07,1,0,5,1,2,0.18,0.197,39,51,95,123,187,87,72
15,2011-01-07,1,0,5,1,2,0.18,0.197,36,39,51,95,123,187,87
25,2011-01-08,1,0,6,0,2,0.18,0.197,15,36,39,51,95,123,187
16,2011-01-08,1,0,6,0,2,0.18,0.2121,25,15,36,39,51,95,123
16,2011-01-08,1,0,6,0,2,0.18,0.2424,16,25,15,36,39,51,95
7,2011-01-08,1,0,6,0,3,0.18,0.197,16,16,25,15,36,39,51
1,2011-01-08,1,0,6,0,3,0.18,0.197,7,16,16,25,15,36,39
5,2011-01-08,1,0,6,0,2,0.16,0.1667,1,7,16,16,25,15,36
2,2011-01-08,1,0,6,0,2,0.16,0.1667,5,1,7,16,16,25,15
9,2011-01-08,1,0,6,0,2,0.16,0.1818,2,5,1,7,16,16,25
15,2011-01-08,1,0,6,0,3,0.16,0.1818,9,2,5,1,7,16,16
20,2011-01-08,1,0,6,0,3,0.16,0.1818,15,9,2,5,1,7,16
61,2011-01-08,1,0,6,0,2,0.18,0.197,20,15,9,2,5,1,7
62,2011-01-08,1,0,6,0,2,0.2,0.1818,61,20,15,9,2,5,1
98,2011-01-08,1,0,6,0,2,0.2,0.1818,62,61,20,15,9,2,5
102,2011-01-08,1,0,6,0,1,0.2,0.1818,98,62,61,20,15,9,2
95,2011-01-08,1,0,6,0,1,0.2,0.1667,102,98,62,61,20,15,9
74,2011-01-08,1,0,6,0,1,0.2,0.1667,95,102,98,62,61,20,15
76,2011-01-08,1,0,6,0,1,0.18,0.1364,74,95,102,98,62,61,20
69,2011-01-08,1,0,6,0,1,0.16,0.1212,76,74,95,102,98,62,61
55,2011-01-08,1,0,6,0,1,0.14,0.1212,69,76,74,95,102,98,62
30,2011-01-08,1,0,6,0,1,0.14,0.1212,55,69,76,74,95,102,98
28,2011-01-08,1,0,6,0,1,0.12,0.1212,30,55,69,76,74,95,102
37,2011-01-08,1,0,6,0,1,0.12,0.1061,28,30,55,69,76,74,95
34,2011-01-08,1,0,6,0,1,0.12,0.1061,37,28,30,55,69,76,74
22,2011-01-08,1,0,6,0,1,0.1,0.0606,34,37,28,30,55,69,76
25,2011-01-09,1,0,0,0,1,0.1,0.0758,22,34,37,28,30,55,69
12,2011-01-09,1,0,0,0,1,0.1,0.0606,25,22,34,37,28,30,55
11,2011-01-09,1,0,0,0,1,0.1,0.0606,12,25,22,34,37,28,30
4,2011-01-09,1,0,0,0,1,0.1,0.0758,11,12,25,22,34,37,28
1,2011-01-09,1,0,0,0,1,0.08,0.0909,4,11,12,25,22,34,37
1,2011-01-09,1,0,0,0,1,0.08,0.0909,1,4,11,12,25,22,34
1,2011-01-09,1,0,0,0,1,0.1,0.0909,1,1,4,11,12,25,22
6,2011-01-09,1,0,0,0,1,0.08,0.0909,1,1,1,4,11,12,25
10,2011-01-09,1,0,0,0,1,0.1,0.0909,6,1,1,1,4,11,12
19,2011-01-09,1,0,0,0,1,0.12,0.0758,10,6,1,1,1,4,11
49,2011-01-09,1,0,0,0,1,0.14,0.1061,19,10,6,1,1,1,4
49,2011-01-09,1,0,0,0,1,0.16,0.1212,49,19,10,6,1,1,1
83,2011-01-09,1,0,0,0,1,0.18,0.1364,49,49,19,10,6,1,1
75,2011-01-09,1,0,0,0,1,0.2,0.1667,83,49,49,19,10,6,1
72,2011-01-09,1,0,0,0,1,0.22,0.1818,75,83,49,49,19,10,6
82,2011-01-09,1,0,0,0,1,0.22,0.197,72,75,83,49,49,19,10
92,2011-01-09,1,0,0,0,1,0.2,0.1667,82,72,75,83,49,49,19
62,2011-01-09,1,0,0,0,1,0.18,0.1515,92,82,72,75,83,49,49
48,2011-01-09,1,0,0,0,1,0.16,0.1364,62,92,82,72,75,83,49
41,2011-01-09,1,0,0,0,1,0.16,0.1364,48,62,92,82,72,75,83
38,2011-01-09,1,0,0,0,1,0.14,0.1212,41,48,62,92,82,72,75
20,2011-01-09,1,0,0,0,1,0.14,0.1061,38,41,48,62,92,82,72
15,2011-01-09,1,0,0,0,1,0.14,0.1212,20,38,41,48,62,92,82
6,2011-01-09,1,0,0,0,1,0.12,0.1364,15,20,38,41,48,62,92
5,2011-01-10,1,0,1,1,1,0.12,0.1212,6,15,20,38,41,48,62
1,2011-01-10,1,0,1,1,1,0.12,0.1212,5,6,15,20,38,41,48
3,2011-01-10,1,0,1,1,1,0.12,0.1212,1,5,6,15,20,38,41
1,2011-01-10,1,0,1,1,1,0.12,0.1212,3,1,5,6,15,20,38
3,2011-01-10,1,0,1,1,1,0.1,0.1212,1,3,1,5,6,15,20
3,2011-01-10,1,0,1,1,1,0.1,0.1061,3,1,3,1,5,6,15
31,2011-01-10,1,0,1,1,1,0.12,0.1212,3,3,1,3,1,5,6
77,2011-01-10,1,0,1,1,1,0.12,0.1212,31,3,3,1,3,1,5
188,2011-01-10,1,0,1,1,2,0.12,0.1212,77,31,3,3,1,3,1
94,2011-01-10,1,0,1,1,2,0.14,0.1212,188,77,31,3,3,1,3
31,2011-01-10,1,0,1,1,2,0.14,0.1212,94,188,77,31,3,3,1
30,2011-01-10,1,0,1,1,2,0.16,0.1364,31,94,188,77,31,3,3
52,2011-01-10,1,0,1,1,2,0.2,0.1818,30,31,94,188,77,31,3
54,2011-01-10,1,0,1,1,2,0.2,0.1818,52,30,31,94,188,77,31
47,2011-01-10,1,0,1,1,2,0.2,0.197,54,52,30,31,94,188,77
45,2011-01-10,1,0,1,1,2,0.2,0.197,47,54,52,30,31,94,188
74,2011-01-10,1,0,1,1,1,0.2,0.2121,45,47,54,52,30,31,94
178,2011-01-10,1,0,1,1,1,0.2,0.2273,74,45,47,54,52,30,31
155,2011-01-10,1,0,1,1,1,0.2,0.197,178,74,45,47,54,52,30
95,2011-01-10,1,0,1,1,1,0.16,0.1667,155,178,74,45,47,54,52
74,2011-01-10,1,0,1,1,1,0.16,0.1667,95,155,178,74,45,47,54
38,2011-01-10,1,0,1,1,1,0.14,0.1364,74,95,155,178,74,45,47
24,2011-01-10,1,0,1,1,1,0.14,0.1515,38,74,95,155,178,74,45
18,2011-01-10,1,0,1,1,1,0.14,0.1515,24,38,74,95,155,178,74
12,2011-01-11,1,0,2,1,1,0.14,0.1667,18,24,38,74,95,155,178
3,2011-01-11,1,0,2,1,1,0.14,0.1515,12,18,24,38,74,95,155
3,2011-01-11,1,0,2,1,2,0.16,0.1515,3,12,18,24,38,74,95
6,2011-01-11,1,0,2,1,2,0.16,0.1818,3,3,12,18,24,38,74
27,2011-01-11,1,0,2,1,2,0.16,0.1818,6,3,3,12,18,24,38
99,2011-01-11,1,0,2,1,2,0.16,0.2273,27,6,3,3,12,18,24
217,2011-01-11,1,0,2,1,2,0.18,0.2121,99,27,6,3,3,12,18
130,2011-01-11,1,0,2,1,2,0.18,0.197,217,99,27,6,3,3,12
54,2011-01-11,1,0,2,1,2,0.2,0.2121,130,217,99,27,6,3,3
35,2011-01-11,1,0,2,1,2,0.2,0.2121,54,130,217,99,27,6,3
57,2011-01-11,1,0,2,1,2,0.2,0.2273,35,54,130,217,99,27,6
52,2011-01-11,1,0,2,1,2,0.2,0.2273,57,35,54,130,217,99,27
63,2011-01-11,1,0,2,1,2,0.2,0.2273,52,57,35,54,130,217,99
47,2011-01-11,1,0,2,1,2,0.16,0.197,63,52,57,35,54,130,217
76,2011-01-11,1,0,2,1,2,0.16,0.1515,47,63,52,57,35,54,130
136,2011-01-11,1,0,2,1,2,0.16,0.1515,76,47,63,52,57,35,54
95,2011-01-11,1,0,2,1,3,0.16,0.1818,136,76,47,63,52,57,35
51,2011-01-11,1,0,2,1,3,0.16,0.2273,95,136,76,47,63,52,57
32,2011-01-11,1,0,2,1,3,0.16,0.1515,51,95,136,76,47,63,52
20,2011-01-11,1,0,2,1,3,0.16,0.197,32,51,95,136,76,47,63
29,2011-01-11,1,0,2,1,3,0.16,0.1818,20,32,51,95,136,76,47
19,2011-01-11,1,0,2,1,3,0.16,0.197,29,20,32,51,95,136,76
7,2011-01-12,1,0,3,1,2,0.16,0.197,19,29,20,32,51,95,136
6,2011-01-12,1,0,3,1,2,0.16,0.1818,7,19,29,20,32,51,95
1,2011-01-12,1,0,3,1,1,0.14,0.1515,6,7,19,29,20,32,51
5,2011-01-12,1,0,3,1,1,0.14,0.1515,1,6,7,19,29,20,32
16,2011-01-12,1,0,3,1,1,0.12,0.1515,5,1,6,7,19,29,20
54,2011-01-12,1,0,3,1,1,0.14,0.1515,16,5,1,6,7,19,29
128,2011-01-12,1,0,3,1,1,0.16,0.1667,54,16,5,1,6,7,19
81,2011-01-12,1,0,3,1,1,0.16,0.1364,128,54,16,5,1,6,7
39,2011-01-12,1,0,3,1,1,0.18,0.1818,81,128,54,16,5,1,6
35,2011-01-12,1,0,3,1,1,0.2,0.1818,39,81,128,54,16,5,1
55,2011-01-12,1,0,3,1,1,0.2,0.1515,35,39,81,128,54,16,5
49,2011-01-12,1,0,3,1,1,0.22,0.197,55,35,39,81,128,54,16
44,2011-01-12,1,0,3,1,1,0.2,0.1818,49,55,35,39,81,128,54
49,2011-01-12,1,0,3,1,1,0.2,0.1667,44,49,55,35,39,81,128
68,2011-01-12,1,0,3,1,1,0.22,0.197,49,44,49,55,35,39,81
139,2011-01-12,1,0,3,1,1,0.2,0.1818,68,49,44,49,55,35,39
137,2011-01-12,1,0,3,1,1,0.2,0.1515,139,68,49,44,49,55,35
83,2011-01-12,1,0,3,1,1,0.18,0.1515,137,139,68,49,44,49,55
56,2011-01-12,1,0,3,1,1,0.16,0.1364,83,137,139,68,49,44,49
57,2011-01-12,1,0,3,1,1,0.16,0.1364,56,83,137,139,68,49,44
33,2011-01-12,1,0,3,1,1,0.16,0.1212,57,56,83,137,139,68,49
20,2011-01-12,1,0,3,1,1,0.14,0.1061,33,57,56,83,137,139,68
7,2011-01-13,1,0,4,1,1,0.14,0.1212,20,33,57,56,83,137,139
2,2011-01-13,1,0,4,1,1,0.14,0.1212,7,20,33,57,56,83,137
2,2011-01-13,1,0,4,1,1,0.14,0.1212,2,7,20,33,57,56,83
3,2011-01-13,1,0,4,1,1,0.14,0.1212,2,2,7,20,33,57,56
4,2011-01-13,1,0,4,1,1,0.14,0.1212,3,2,2,7,20,33,57
3,2011-01-13,1,0,4,1,1,0.14,0.1212,4,3,2,2,7,20,33
28,2011-01-13,1,0,4,1,1,0.12,0.1515,3,4,3,2,2,7,20
72,2011-01-13,1,0,4,1,1,0.12,0.1515,28,3,4,3,2,2,7
202,2011-01-13,1,0,4,1,1,0.14,0.1364,72,28,3,4,3,2,2
139,2011-01-13,1,0,4,1,1,0.14,0.1212,202,72,28,3,4,3,2
38,2011-01-13,1,0,4,1,2,0.16,0.1364,139,202,72,28,3,4,3
37,2011-01-13,1,0,4,1,2,0.2,0.1667,38,139,202,72,28,3,4
52,2011-01-13,1,0,4,1,1,0.2,0.1667,37,38,139,202,72,28,3
83,2011-01-13,1,0,4,1,1,0.22,0.197,52,37,38,139,202,72,28
42,2011-01-13,1,0,4,1,1,0.22,0.197,83,52,37,38,139,202,72
60,2011-01-13,1,0,4,1,1,0.24,0.2121,42,83,52,37,38,139,202
78,2011-01-13,1,0,4,1,1,0.24,0.2121,60,42,83,52,37,38,139
162,2011-01-13,1,0,4,1,1,0.2,0.1818,78,60,42,83,52,37,38
144,2011-01-13,1,0,4,1,1,0.2,0.1818,162,78,60,42,83,52,37
99,2011-01-13,1,0,4,1,1,0.16,0.1515,144,162,78,60,42,83,52
64,2011-01-13,1,0,4,1,1,0.16,0.1515,99,144,162,78,60,42,83
40,2011-01-13,1,0,4,1,1,0.14,0.1212,64,99,144,162,78,60,42
30,2011-01-13,1,0,4,1,1,0.14,0.1212,40,64,99,144,162,78,60
15,2011-01-13,1,0,4,1,1,0.12,0.1364,30,40,64,99,144,162,78
14,2011-01-14,1,0,5,1,1,0.12,0.1364,15,30,40,64,99,144,162
5,2011-01-14,1,0,5,1,1,0.1,0.1212,14,15,30,40,64,99,144
1,2011-01-14,1,0,5,1,1,0.1,0.1212,5,14,15,30,40,64,99
1,2011-01-14,1,0,5,1,1,0.1,0.1364,1,5,14,15,30,40,64
8,2011-01-14,1,0,5,1,1,0.1,0.1364,1,1,5,14,15,30,40
17,2011-01-14,1,0,5,1,1,0.1,0.1818,8,1,1,5,14,15,30
70,2011-01-14,1,0,5,1,1,0.1,0.1212,17,8,1,1,5,14,15
158,2011-01-14,1,0,5,1,1,0.12,0.1667,70,17,8,1,1,5,14
117,2011-01-14,1,0,5,1,1,0.14,0.1515,158,70,17,8,1,1,5
44,2011-01-14,1,0,5,1,1,0.18,0.1818,117,158,70,17,8,1,1
53,2011-01-14,1,0,5,1,1,0.18,0.1667,44,117,158,70,17,8,1
61,2011-01-14,1,0,5,1,1,0.2,0.197,53,44,117,158,70,17,8
77,2011-01-14,1,0,5,1,1,0.22,0.197,61,53,44,117,158,70,17
64,2011-01-14,1,0,5,1,1,0.22,0.2121,77,61,53,44,117,158,70
68,2011-01-14,1,0,5,1,1,0.24,0.2424,64,77,61,53,44,117,158
90,2011-01-14,1,0,5,1,1,0.22,0.2424,68,64,77,61,53,44,117
159,2011-01-14,1,0,5,1,1,0.22,0.2273,90,68,64,77,61,53,44
139,2011-01-14,1,0,5,1,1,0.2,0.2576,159,90,68,64,77,61,53
92,2011-01-14,1,0,5,1,1,0.16,0.197,139,159,90,68,64,77,61
68,2011-01-14,1,0,5,1,1,0.18,0.2424,92,139,159,90,68,64,77
52,2011-01-14,1,0,5,1,1,0.16,0.2273,68,92,139,159,90,68,64
36,2011-01-14,1,0,5,1,2,0.16,0.2273,52,68,92,139,159,90,68
27,2011-01-14,1,0,5,1,2,0.18,0.2424,36,52,68,92,139,159,90
28,2011-01-15,1,0,6,0,1,0.18,0.2424,27,36,52,68,92,139,159
20,2011-01-15,1,0,6,0,2,0.16,0.197,28,27,36,52,68,92,139
12,2011-01-15,1,0,6,0,2,0.16,0.197,20,28,27,36,52,68,92
8,2011-01-15,1,0,6,0,2,0.16,0.2273,12,20,28,27,36,52,68
5,2011-01-15,1,0,6,0,2,0.16,0.2273,8,12,20,28,27,36,52
1,2011-01-15,1,0,6,0,1,0.16,0.2273,5,8,12,20,28,27,36
3,2011-01-15,1,0,6,0,1,0.14,0.1667,1,5,8,12,20,28,27
10,2011-01-15,1,0,6,0,1,0.14,0.2121,3,1,5,8,12,20,28
23,2011-01-15,1,0,6,0,1,0.14,0.1515,10,3,1,5,8,12,20
33,2011-01-15,1,0,6,0,1,0.16,0.1818,23,10,3,1,5,8,12
59,2011-01-15,1,0,6,0,1,0.18,0.197,33,23,10,3,1,5,8
72,2011-01-15,1,0,6,0,1,0.2,0.197,59,33,23,10,3,1,5
89,2011-01-15,1,0,6,0,1,0.24,0.2273,72,59,33,23,10,3,1
101,2011-01-15,1,0,6,0,1,0.28,0.2576,89,72,59,33,23,10,3
